1.5917;1.7541;1.5568
0.38103;-0.23204;0.17251
-1.2732;-1.3974;-2.4943
-0.62529;-0.20368;0.26826
1.2938;-1.8067;2.1631
0.080261;1.0205;0.056758
2.5403;0.68434;1.5655
2.6703;2.804;1.6807
0.44784;-0.84146;-2.2714
-1.1546;36.302;-0.55616
2.3931;-0.46488;-0.15793
-8.0107;0.14977;10.341
1.5619;-0.59797;-1.7532
-0.27272;-0.63851;-1.4143
-0.23343;-0.64191;2.0428
1.4819;-3.872;1.643
0.26151;-0.3515;6.663
0.71504;0.78359;13.943
2.6436;-0.77517;0.54164
-1.1518;0.34667;-6.1083
0.19374;-14.729;4.9545
-2.5334;0.25521;0.79402
3.66;4.0489;-0.43828
-0.29301;-0.65084;0.71694
0.6073;1.5854;1.1751
-1.0568;0.070595;-5.8708
0.67501;0.35303;0.61152
1.5978;-2.0949;4.6567
-6.9653;-3.0767;-0.74678
1.2714;2.7881;0.63366
1.6585;1.6078;0.90659
1.6759;3.4392;-1.0446
7.3389;-0.34066;0.67762
-1.0279;399.93;0.79459
3.8522;0.91328;3.402
-0.21477;-3.6255;1.0494
2.8791;-1.5097;-0.33156
-0.93356;-0.84537;3.2174
1.0792;13.989;0.11037
0.11685;1.4639;-0.36837
0.42735;0.8392;-1.0462
-1.3592;-2.2005;0.16753
5.4763;0.48418;-0.43019
2.1694;-0.39891;-1.3811
-0.063093;1.3926;-0.33912
-0.13471;-0.86751;-1.7377
14.069;-8.5003;0.30563
0.47574;-5.6124;0.44762
3.0151;1.7909;0.98014
23.715;19.126;-0.33618
-0.20283;-0.85403;1.1192
5.3793;2.1086;1.3688
-0.9924;0.59488;-1.8365
-0.82352;0.1959;-0.95808
-0.042775;0.81224;0.56851
1.0489;-1.9695;3.776
0.094186;1.7006;17.042
0.16354;15.885;-0.61064
-3.3156;-0.18061;5.0853
0.66223;0.65294;0.02249
0.38664;0.0026645;-5.5702
0.79768;0.75343;-0.78836
0.25675;-0.32748;-0.47381
-5.0852;1.0133;-0.90011
-7.5383;0.74832;-0.16603
0.32117;12.663;1.1863
0.22191;1.2159;-4.3704
-1.0724;-0.50434;2.9727
7.5423;1.8855;2.627
2.0006;1.9198;-2.9267
-2.0724;-8.0766;-0.43297
-0.72956;-3.2658;1.1913
-1.373;-0.091249;0.04745
1.5194;-0.82111;316.42
-0.17598;-0.8315;0.43228
-0.67774;-0.19923;1.5704
-0.8613;2.7396;-1.4224
-1.4158;-0.39135;2.3724
0.71289;2.3432;-2.0086
0.49998;0.2252;1.138
-1.1239;3.064;-0.10956
8.4994;-0.5422;10.315
-0.38227;0.64527;-0.21517
0.32053;-0.18695;3.1195
-0.56684;1.4387;-0.27451
1.4144;-1.1394;-1.4235
2.5869;0.32077;0.20223
2.5715;-0.3514;1.896
52.949;-0.53564;0.20277
-0.52934;-1.5281;-1.0641
0.41928;3.9877;0.79741
0.73681;-3.3;-4.3985
0.39464;-1.5167;0.40271
6.7721;8.2342;1.5386
-1.1981;-0.76587;0.47552
-4.7816;0.93355;-2.1833
-0.1813;2.9553;-0.18431
0.10768;-4.7869;2.5389
-0.67861;1.1387;-7.6671
6.2395;-3.5977;0.63345
2.1593;-53.874;0.69488
